name,uri,pflags
11_4__Incorporating_the_Data_Design,https://www.textbook.ds100.org/ch/11/viz_data_design.html,"{""prefix"": [""viz_data_design""]}"
11_5__Adding_Context,https://www.textbook.ds100.org/ch/11/viz_context.html,"{""prefix"": [""viz_context""]}"
11_7__Other_Tools_for_Visualization,https://www.textbook.ds100.org/ch/11/viz_other_tools.html,"{""prefix"": [""viz_other_tools""]}"
11_8__Summary,https://www.textbook.ds100.org/ch/11/viz_summary.html,"{""prefix"": [""viz_summary""]}"
12__Case_Study__Data_Science_for_Accurate_and_Timely_Air_Quality_Measurements,https://www.textbook.ds100.org/ch/12/pa_intro.html,"{""prefix"": [""pa_intro""]}"
12_1__Finding_Collocated_Sensors,https://www.textbook.ds100.org/ch/12/pa_collocated.html,"{""prefix"": [""pa_collocated""]}"
12_2__Exploring_and_Cleaning_AQS_Sensor_Data,https://www.textbook.ds100.org/ch/12/pa_cleaning_aqs.html,"{""prefix"": [""pa_cleaning_aqs""]}"
12_3__Exploring_and_Cleaning_PurpleAir_Sensor_Data,https://www.textbook.ds100.org/ch/12/pa_cleaning_purpleair.html,"{""prefix"": [""pa_cleaning_purpleair""]}"
12_4__Creating_a_Model_to_Correct_PurpleAir_Measurements,https://www.textbook.ds100.org/ch/12/pa_modeling.html,"{""prefix"": [""pa_modeling""]}"
12_5__In_Conclusion,https://www.textbook.ds100.org/ch/12/pa_conclusion.html,"{""prefix"": [""pa_conclusion""]}"
12_6__Exercises,https://www.textbook.ds100.org/ch/12/pa_exercises.html,"{""prefix"": [""pa_exercises""]}"
13__Working_with_Text,https://www.textbook.ds100.org/ch/13/text_intro.html,"{""prefix"": [""text_intro""]}"
13_1__Examples_of_Text_and_Tasks,https://www.textbook.ds100.org/ch/13/text_examples.html,"{""prefix"": [""text_examples""]}"
13_2__String_Manipulation,https://www.textbook.ds100.org/ch/13/text_strings.html,"{""prefix"": [""text_strings""]}"
13_3__Regular_Expressions,https://www.textbook.ds100.org/ch/13/text_regex.html,"{""prefix"": [""text_regex""]}"
13_4__Regex_and_Python,https://www.textbook.ds100.org/ch/13/text_re.html,"{""prefix"": [""text_re""]}"
14__Web_Technologies,https://www.textbook.ds100.org/ch/14/web_intro.html,"{""prefix"": [""web_intro""]}"
14_1__HTTP,https://www.textbook.ds100.org/ch/14/web_http.html,"{""prefix"": [""web_http""]}"
14_2__[In_Progress]_REST,https://www.textbook.ds100.org/ch/14/web_rest.html,"{""prefix"": [""web_rest""]}"
14_3__[In_Progress]_XPath_and_HTML,https://www.textbook.ds100.org/ch/14/web_html.html,"{""prefix"": [""web_html""]}"
15__Linear_Models,https://www.textbook.ds100.org/ch/15/linear_models.html,"{""prefix"": [""linear_models""]}"
15_1__Predicting_Tip_Amounts,https://www.textbook.ds100.org/ch/15/linear_tips.html,"{""prefix"": [""linear_tips""]}"
15_2__[In_progress]_Fitting_a_linear_model,https://www.textbook.ds100.org/ch/15/linear_fitting.html,"{""prefix"": [""linear_fitting""]}"
